"velocidad" "parque"
"1" 3.5 "Parque1"
"2" 2.19 "Parque1"
"3" 1.93 "Parque1"
"4" 2.08 "Parque1"
"5" 2.88 "Parque1"
"6" 2.8 "Parque1"
"7" 4.79 "Parque1"
"8" 4.91 "Parque1"
"9" 5.81 "Parque1"
"10" 5.48 "Parque1"
"11" 5.04 "Parque1"
"12" 4.38 "Parque1"
"13" 5.11 "Parque1"
"14" 5.39 "Parque1"
"15" 5.99 "Parque1"
"16" 5.79 "Parque1"
"17" 6.43 "Parque1"
"18" 6.5 "Parque1"
"19" 6.39 "Parque1"
"20" 6.59 "Parque1"
"21" 6.7 "Parque1"
"22" 5.92 "Parque1"
"23" 5.89 "Parque1"
"24" 6.63 "Parque1"
"25" 6.06 "Parque1"
"26" 6.52 "Parque1"
"27" 5.94 "Parque1"
"28" 6.67 "Parque1"
"29" 6.62 "Parque1"
"30" 5.67 "Parque1"
"31" 5.69 "Parque1"
"32" 6.46 "Parque1"
"33" 6.29 "Parque1"
"34" 6.31 "Parque1"
"35" 6.18 "Parque1"
"36" 4.46 "Parque1"
"37" 3.84 "Parque1"
"38" 2.87 "Parque1"
"39" 2.45 "Parque1"
"40" 3.52 "Parque1"
"41" 3.35 "Parque1"
"42" 3.41 "Parque1"
"43" 3.19 "Parque1"
"44" 2.2 "Parque1"
"45" 1.21 "Parque1"
"46" 1.88 "Parque1"
"47" 1.97 "Parque1"
"48" 2.43 "Parque1"
"49" 2.2 "Parque1"
"50" 2.96 "Parque1"
"51" 4.08 "Parque1"
"52" 4.2 "Parque1"
"53" 4.47 "Parque1"
"54" 5.08 "Parque1"
"55" 3.59 "Parque1"
"56" 3.41 "Parque1"
"57" 2.32 "Parque1"
"58" 1.44 "Parque1"
"59" 3.57 "Parque1"
"60" 4.14 "Parque1"
"61" 3.73 "Parque1"
"62" 2.97 "Parque1"
"63" 3.38 "Parque1"
"64" 3.54 "Parque1"
"65" 4.11 "Parque1"
"66" 4.85 "Parque1"
"67" 5.66 "Parque1"
"68" 4.81 "Parque1"
"69" 5.27 "Parque1"
"70" 5.48 "Parque1"
"71" 6.01 "Parque1"
"72" 6.99 "Parque1"
"73" 8.2 "Parque1"
"74" 6.82 "Parque1"
"75" 7.1 "Parque1"
"76" 9.08 "Parque1"
"77" 9.19 "Parque1"
"78" 8.93 "Parque1"
"79" 7.71 "Parque1"
"80" 7.28 "Parque1"
"81" 8.38 "Parque1"
"82" 9.88 "Parque1"
"83" 8.39 "Parque1"
"84" 8.16 "Parque1"
"85" 7.61 "Parque1"
"86" 7.19 "Parque1"
"87" 7.36 "Parque1"
"88" 7.12 "Parque1"
"89" 6.8 "Parque1"
"90" 5.35 "Parque1"
"91" 5.31 "Parque1"
"92" 4.86 "Parque1"
"93" 4.51 "Parque1"
"94" 3.87 "Parque1"
"95" 3.69 "Parque1"
"96" 3.09 "Parque1"
"97" 2.72 "Parque1"
"98" 2.33 "Parque1"
"99" 2.82 "Parque1"
"100" 2.49 "Parque1"
"101" 1.73 "Parque1"
"102" 2.17 "Parque1"
"103" 2.39 "Parque1"
"104" 2.28 "Parque1"
"105" 1.9 "Parque1"
"106" 2.01 "Parque1"
"107" 2.01 "Parque1"
"108" 1.88 "Parque1"
"109" 1.9 "Parque1"
"110" 1.72 "Parque1"
"111" 1.62 "Parque1"
"112" 2.15 "Parque1"
"113" 2.29 "Parque1"
"114" 1.65 "Parque1"
"115" 1.95 "Parque1"
"116" 2.21 "Parque1"
"117" 0.84 "Parque1"
"118" 0.52 "Parque1"
"119" 1.16 "Parque1"
"120" 1.03 "Parque1"
"121" 0.73 "Parque1"
"122" 0.77 "Parque1"
"123" 1.89 "Parque1"
"124" 2.13 "Parque1"
"125" 3.58 "Parque1"
"126" 3.26 "Parque1"
"127" 2.94 "Parque1"
"128" 3.32 "Parque1"
"129" 2.29 "Parque1"
"130" 1.6 "Parque1"
"131" 1.28 "Parque1"
"132" 2.31 "Parque1"
"133" 4.66 "Parque1"
"134" 5.21 "Parque1"
"135" 4.17 "Parque1"
"136" 4.65 "Parque1"
"137" 5.62 "Parque1"
"138" 4.22 "Parque1"
"139" 7.19 "Parque1"
"140" 9.09 "Parque1"
"141" 9.26 "Parque1"
"142" 5 "Parque1"
"143" 6.02 "Parque1"
"144" 7.82 "Parque1"
"145" 8.9 "Parque1"
"146" 9.3 "Parque1"
"147" 9.03 "Parque1"
"148" 8.15 "Parque1"
"149" 8.59 "Parque1"
"150" 8.72 "Parque1"
"151" 8.86 "Parque1"
"152" 8.76 "Parque1"
"153" 8.93 "Parque1"
"154" 9.38 "Parque1"
"155" 8.42 "Parque1"
"156" 7.95 "Parque1"
"157" 7.5 "Parque1"
"158" 7.12 "Parque1"
"159" 7.57 "Parque1"
"160" 8.65 "Parque1"
"161" 8.96 "Parque1"
"162" 8.18 "Parque1"
"163" 6.37 "Parque1"
"164" 5.8 "Parque1"
"165" 3.74 "Parque1"
"166" 4.05 "Parque1"
"167" 1.88 "Parque1"
"168" 2.14 "Parque1"
"169" 1.36 "Parque1"
"170" 1.94 "Parque1"
"171" 2 "Parque1"
"172" 2.16 "Parque1"
"173" 1.7 "Parque1"
"174" 3.91 "Parque1"
"175" 4 "Parque1"
"176" 4.59 "Parque1"
"177" 3.88 "Parque1"
"178" 3.35 "Parque1"
"179" 3.14 "Parque1"
"180" 3.77 "Parque1"
"181" 2.54 "Parque1"
"182" 2.55 "Parque1"
"183" 3.82 "Parque1"
"184" 4.14 "Parque1"
"185" 4.68 "Parque1"
"186" 5.45 "Parque1"
"187" 4.15 "Parque1"
"188" 4.77 "Parque1"
"189" 4.1 "Parque1"
"190" 3.97 "Parque1"
"191" 4.9 "Parque1"
"192" 4.7 "Parque1"
"193" 4.45 "Parque1"
"194" 4.49 "Parque1"
"195" 4.61 "Parque1"
"196" 3.38 "Parque1"
"197" 3.26 "Parque1"
"198" 3.2 "Parque1"
"199" 3.85 "Parque1"
"200" 4.04 "Parque1"
"201" 5.21 "Parque1"
"202" 4.04 "Parque1"
"203" 3.26 "Parque1"
"204" 3.31 "Parque1"
"205" 3.03 "Parque1"
"206" 3.47 "Parque1"
"207" 4.03 "Parque1"
"208" 3.86 "Parque1"
"209" 3.34 "Parque1"
"210" 2.94 "Parque1"
"211" 2.74 "Parque1"
"212" 3.64 "Parque1"
"213" 3.1 "Parque1"
"214" 2.56 "Parque1"
"215" 2.74 "Parque1"
"216" 2.33 "Parque1"
"217" 2.41 "Parque1"
"218" 2.16 "Parque1"
"219" 2.15 "Parque1"
"220" 2.1 "Parque1"
"221" 2.03 "Parque1"
"222" 2.27 "Parque1"
"223" 1.93 "Parque1"
"224" 2.49 "Parque1"
"225" 2.33 "Parque1"
"226" 1.48 "Parque1"
"227" 1.37 "Parque1"
"228" 1.91 "Parque1"
"229" 1.34 "Parque1"
"230" 1.34 "Parque1"
"231" 0.85 "Parque1"
"232" 0.51 "Parque1"
"233" 2.23 "Parque1"
"234" 2.24 "Parque1"
"235" 2.02 "Parque1"
